anio,Clave_del_incendio,latitud,longitud,Clave_Municipio,Estado,Municipio,CVE_ENT,CVE_MUN,CVEGEO,Region,Predio,Causa,Causa_especifica,Fecha_Inicio,Fecha_Termino,Duracion_dias,Tipo_de_incendio,Tipo_Vegetacion,Regimen_de_fuego,Tipo_impacto,Arbolado_Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Total_hectareas,Tamano,Deteccion,Llegada,Duracion,Entidad,fn_Clave_del_incendio,fn_Predio,fn_Causa,fn_Causa_especifica,fn_Duracion_dias,fn_Tipo_de_incendio,fn_Tipo_Vegetacion,fn_Tipo_impacto,fn_Tamano
2022,22-01-0036,21.80774444,-102.1362139,10,Aguascalientes,El Llano,1,10,1001,Occidente,LA TINAJA,Actividades ilícitas,Vandalismo,4/21/2022,4/21/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,3.69554,33.25986,0,36.9554,21 a 50 Hectáreas,5220,7200,23220,Aguascalientes,,,,,,,,,
2022,22-01-0037,22.0287,-102.2400806,11,Aguascalientes,San Francisco de los Romo,1,11,1101,Occidente,EJIDO LA ESCONDIDA,Actividades ilícitas,Vandalismo,4/21/2022,4/22/2022,2 a 3 Días,Mixto,Matorral Crasicaule,Otros,Impacto Moderado,0.14028,0,3.36672,10.521,0,14.028,11 a 20 Hectáreas,1200,3000,66000,Aguascalientes,,,,,,,,,
2022,22-01-0038,21.73921111,-102.2466806,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,EJIDO PEÑUELAS,Actividades pecuarias,Quema para pastoreo,4/25/2022,4/25/2022,1 Día,Mixto,Pastizal Natural,Adaptado,Impacto Moderado,1.8284,0,53.0238,127.9885,0,182.8407,Mayor a 100 Hectáreas,300,900,32400,Aguascalientes,,,,,,,,,
2022,22-01-0039,21.68816667,-102.3860528,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,LA SOLEDAD,Fogatas,Fogatas,5/2/2022,5/3/2022,2 a 3 Días,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,1.2523,0,17.5322,106.4455,0,125.23,Mayor a 100 Hectáreas,2700,4200,96000,Aguascalientes,,,,,,,,,
2022,22-01-0040,21.91282222,-102.1996694,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,EL COLORADO,Actividades ilícitas,Vandalismo,5/3/2022,5/3/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,4.482,10.458,0,14.94,11 a 20 Hectáreas,9000,10800,25800,Aguascalientes,,,,,,,,,
2022,22-01-0041,21.79858611,-102.4332083,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,RANCHO NUEVO,Fumadores,Fumadores,5/6/2022,5/6/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,16.14,48.42,0,64.56,51 a 100 Hectáreas,1800,7200,20700,Aguascalientes,,,,,,,,,
2022,22-01-0042,22.13011944,-102.3432667,6,Aguascalientes,Pabellón de Arteaga,1,6,601,Occidente,SANTIAGO,Fogatas,Fogatas,5/6/2022,5/6/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0.4036,0,4.6414,15.135,0,20.18,21 a 50 Hectáreas,3600,5400,19800,Aguascalientes,,,,,,,,,
2022,22-01-0043,22.20989444,-102.3795944,8,Aguascalientes,San José de Gracia,1,8,801,Occidente,CUEVA DE LA LOBA,Fogatas,Fogatas,5/7/2022,5/7/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.9,8.1,0,9,6 a 10 Hectáreas,1800,3300,16200,Aguascalientes,,,,,,,,,
2022,22-01-0044,21.70888611,-102.2558417,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,EL REFUGIO DE PEÑUELAS,Actividades ilícitas,Rencillas,5/8/2022,5/8/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,1.1284,0,27.0816,84.63,0,112.84,Mayor a 100 Hectáreas,1800,3000,29400,Aguascalientes,,,,,,,,,
2022,22-01-0045,22.24414722,-102.4566639,8,Aguascalientes,San José de Gracia,1,8,801,Occidente,RINCON DE ROMOS,Fogatas,Fogatas,5/9/2022,5/9/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,5.736,51.624,0,57.36,51 a 100 Hectáreas,5400,7800,24000,Aguascalientes,,,,,,,,,
2022,22-01-0046,21.82615278,-102.2576528,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,COBOS,Actividades ilícitas,Vandalismo,5/10/2022,5/10/2022,1 Día,Mixto,Pastizal Natural,Adaptado,Impacto Moderado,0,0,33.1625,61.5875,0,94.75,51 a 100 Hectáreas,600,1200,24300,Aguascalientes,,,,,,,,,
2022,22-01-0047,21.72969722,-102.6965917,3,Aguascalientes,Calvillo,1,3,301,Occidente,CUEVA DEL PADRE,Fogatas,Fogatas,5/12/2022,5/14/2022,2 a 3 Días,Superficial,Bosque de Encino,Adaptado,Impacto Mínimo,0,0,0.524,1.572,3.144,5.24,6 a 10 Hectáreas,31200,31800,148200,Aguascalientes,,,,,,,,,
2022,22-01-0048,22.13703889,-102.4011806,8,Aguascalientes,San José de Gracia,1,8,801,Occidente,SAN JOSE DE GRACIA,Actividades ilícitas,Vandalismo,5/15/2022,5/15/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0.708,6.372,0,7.08,6 a 10 Hectáreas,2100,3000,16800,Aguascalientes,,,,,,,,,
2022,22-01-0049,21.76397222,-102.6453972,3,Aguascalientes,Calvillo,1,3,301,Occidente,MESA DE LAS ESCOBAS,Desconocidas,Desconocidas,5/21/2022,5/29/2022,Mayor de 7 Días,Mixto,Bosque de Encino,Adaptado,Impacto Mínimo,5.37,0,21.43,13.39,227.73,267.92,Mayor a 100 Hectáreas,4200,10800,700200,Aguascalientes,,,,,,,,,
2022,22-01-0050,21.75753889,-102.7667778,3,Aguascalientes,Calvillo,1,3,301,Occidente,MESA DEL ROBLE,Actividades agrícolas,Quema para desmontar,5/24/2022,5/24/2022,1 Día,Superficial,Bosque de Encino,Adaptado,Impacto Mínimo,0,0,9.58,57.4,28.7,95.68,51 a 100 Hectáreas,1020,2520,25020,Aguascalientes,,,,,,,,,
2022,22-01-0051,22.01951944,-102.1637361,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,JALTOMATE,Desconocidas,Desconocidas,6/11/2022,6/12/2022,2 a 3 Días,Mixto,Matorral Crasicaule,Otros,Impacto Moderado,23.4,0,70.2,140.4,0,234,Mayor a 100 Hectáreas,600,1800,93600,Aguascalientes,,,,,,,,,
2022,22-01-0052,22.19806389,-102.4185861,8,Aguascalientes,San José de Gracia,1,8,801,Occidente,EL TORIL,Actividades ilícitas,Vandalismo,6/18/2022,6/18/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0,7.13,0,7.13,6 a 10 Hectáreas,600,2400,11400,Aguascalientes,,,,,,,,,
2022,22-01-0053,21.96565833,-102.3880778,5,Aguascalientes,Jesús María,1,5,501,Occidente,CERRO SAN ISIDRO,Fogatas,Fogatas,6/24/2022,6/24/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0.51,2.06,0,2.57,0 a 5 Hectáreas,600,1200,9600,Aguascalientes,,,,,,,,,
2022,22-02-0001,31.186675,-115.7814722,1,Baja California,Ensenada,2,1,102,Noroeste,Ejido Leandro Valle/El Carrizo,Desconocidas,Desconocidas,2/10/2022,2/12/2022,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Moderado,1,0,171.732,0,0,172.732,Mayor a 100 Hectáreas,1800,7200,169200,Baja California,,,,,,,,,
2022,22-02-0002,31.52948611,-116.1204667,1,Baja California,Ensenada,2,1,102,Noroeste,Los Álamos,Desconocidas,Desconocidas,4/18/2022,4/19/2022,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,35,4.3581,0,39.3581,21 a 50 Hectáreas,9840,72000,90000,Baja California,,,,,,,,,
2022,22-02-0003,32.14136111,-116.3506083,1,Baja California,Ensenada,2,1,102,Noroeste,Rancho La Aurora,Actividades agrícolas,Quema para desmontar,4/24/2022,4/24/2022,1 Día,Superficial,Chaparral,Adaptado,Impacto Moderado,0,0,18,4.3155,0,22.3155,21 a 50 Hectáreas,300,2700,12900,Baja California,,,,,,,,,
